playID,homeAbbr,awayAbbr,homeScore,awayScore
333200251_3_8,TEX,OKST,0,7
333200251_3_9,TEX,OKST,0,7
333200251_3_10,TEX,OKST,0,7
333200251_3_11,TEX,OKST,0,7
333200251_3_12,TEX,OKST,0,7
333200251_3_13,TEX,OKST,0,7
333200251_3_14,TEX,OKST,0,7
333200251_4_0,TEX,OKST,3,7
333200251_4_1,TEX,OKST,3,7
333200251_4_2,TEX,OKST,3,7
333200251_4_3,TEX,OKST,3,7
333200251_4_4,TEX,OKST,3,7
333200251_4_5,TEX,OKST,3,7
333200251_5_1,TEX,OKST,3,7
333200251_5_2,TEX,OKST,3,7
333200251_5_3,TEX,OKST,3,7
333200251_5_4,TEX,OKST,3,7
333200251_6_0,TEX,OKST,3,7
333200251_6_1,TEX,OKST,3,7
333200251_6_2,TEX,OKST,3,7
333200251_6_3,TEX,OKST,3,7
333200251_6_4,TEX,OKST,3,7
333200251_6_5,TEX,OKST,3,7
333200251_6_6,TEX,OKST,3,7
333200251_6_7,TEX,OKST,3,7
333200251_7_0,TEX,OKST,3,7
333200251_7_1,TEX,OKST,3,7
333200251_7_2,TEX,OKST,3,7
333200251_8_0,TEX,OKST,3,7
333200251_8_1,TEX,OKST,3,7
333200251_8_2,TEX,OKST,3,7
333200251_8_3,TEX,OKST,3,7
333200251_8_5,TEX,OKST,3,13
333200251_9_0,TEX,OKST,3,14
333200251_9_1,TEX,OKST,3,14
333200251_9_2,TEX,OKST,3,14
333200251_9_3,TEX,OKST,3,14
333200251_9_4,TEX,OKST,3,14
333200251_9_5,TEX,OKST,3,14
333200251_9_6,TEX,OKST,3,14
333200251_9_7,TEX,OKST,3,14
333200251_9_8,TEX,OKST,3,14
333200251_9_9,TEX,OKST,9,14
333200251_10_0,TEX,OKST,10,14
333200251_10_1,TEX,OKST,10,14
333200251_10_2,TEX,OKST,10,14
333200251_10_3,TEX,OKST,10,14
333200251_10_4,TEX,OKST,10,14
333200251_10_5,TEX,OKST,10,20
333200251_11_0,TEX,OKST,10,21
333200251_11_1,TEX,OKST,10,21
333200251_11_3,TEX,OKST,10,21
333200251_11_5,TEX,OKST,10,27
333200251_12_0,TEX,OKST,10,28
333200251_13_0,TEX,OKST,10,28
333200251_13_1,TEX,OKST,10,28
333200251_13_2,TEX,OKST,10,28
333200251_13_3,TEX,OKST,10,28
333200251_13_4,TEX,OKST,10,28
333200251_13_5,TEX,OKST,10,28
333200251_13_6,TEX,OKST,10,28
333200251_13_7,TEX,OKST,10,28
333200251_14_0,TEX,OKST,13,28
333200251_14_1,TEX,OKST,13,28
333200251_14_2,TEX,OKST,13,28
333200251_14_3,TEX,OKST,13,28
333200251_14_4,TEX,OKST,13,28
333200251_14_5,TEX,OKST,13,28
333200251_14_6,TEX,OKST,13,28
333200251_14_7,TEX,OKST,13,28
333200251_14_8,TEX,OKST,13,28
333200251_14_9,TEX,OKST,13,28
333200251_15_0,TEX,OKST,13,31
333200251_15_1,TEX,OKST,13,31
333200251_15_2,TEX,OKST,13,31
333200251_15_3,TEX,OKST,13,31
333200251_16_0,TEX,OKST,13,31
333200251_16_1,TEX,OKST,13,31
333200251_16_2,TEX,OKST,13,31
333200251_16_4,TEX,OKST,13,31
333200251_16_5,TEX,OKST,13,31
333200251_16_6,TEX,OKST,13,31
333200251_17_0,TEX,OKST,13,31
333200251_17_1,TEX,OKST,13,31
333200251_18_0,TEX,OKST,13,37
