playID,gameId,year,week,offenseAbbr,defenseAbbr,quarter,clock,type,down,distance,yardLine,yardsGained
400763458_20_0,400763458,2015,11,WVU,TEX,4,00:12:38,Rush,1,10,2,5
400763458_20_1,400763458,2015,11,WVU,TEX,4,00:12:38,Rush,2,5,7,4
400763458_22_1,400763458,2015,11,WVU,TEX,4,00:09:24,Rush,1,10,25,1
400763458_22_2,400763458,2015,11,WVU,TEX,4,00:09:24,Rush,2,9,26,3
400763458_22_3,400763458,2015,11,WVU,TEX,4,00:09:24,Rush,3,6,29,-3
400763458_24_0,400763458,2015,11,WVU,TEX,4,00:07:12,Rush,1,10,52,1
400763458_24_1,400763458,2015,11,WVU,TEX,4,00:07:12,Rush,2,9,53,12
400763458_24_2,400763458,2015,11,WVU,TEX,4,00:07:12,Rush,1,10,65,16
400763458_24_3,400763458,2015,11,WVU,TEX,4,00:07:12,Rush,1,10,81,5
400763458_24_4,400763458,2015,11,WVU,TEX,4,00:07:12,Rush,2,5,86,13
400763458_24_5,400763458,2015,11,WVU,TEX,4,00:07:12,Rush,1,1,99,-1
400763458_24_6,400763458,2015,11,WVU,TEX,4,00:07:12,Rush,2,2,98,0
400763458_24_7,400763458,2015,11,WVU,TEX,4,00:03:30,Rushing Touchdown,3,0,98,2
400763458_26_0,400763458,2015,11,WVU,TEX,4,00:01:40,Rush,1,10,27,1
400763458_26_1,400763458,2015,11,WVU,TEX,4,00:01:40,Rush,2,9,28,1
400763458_26_2,400763458,2015,11,WVU,TEX,4,00:01:40,Rush,3,8,29,-1
400763463_0_1,400763463,2015,13,TTU,TEX,1,00:14:45,Pass Reception,1,10,75,14
400763463_0_2,400763463,2015,13,TTU,TEX,1,00:14:40,Rush,1,10,61,2
400763463_0_3,400763463,2015,13,TTU,TEX,1,00:14:22,Pass Reception,2,8,59,10
400763463_0_4,400763463,2015,13,TTU,TEX,1,00:14:10,Rush,1,10,49,3
400763463_0_5,400763463,2015,13,TTU,TEX,1,00:13:50,Pass Reception,2,7,46,16
400763463_0_6,400763463,2015,13,TTU,TEX,1,00:13:15,Pass Reception,1,10,30,-1
400763463_0_7,400763463,2015,13,TTU,TEX,1,00:12:59,Rush,2,11,31,2
400763463_0_8,400763463,2015,13,TTU,TEX,1,00:12:33,Pass Incompletion,3,9,29,0
400763463_0_9,400763463,2015,13,TTU,TEX,1,00:12:21,Pass Interception Return,4,9,29,16
400763463_2_0,400763463,2015,13,TTU,TEX,1,00:08:06,Rush,1,10,77,-1
400763463_2_1,400763463,2015,13,TTU,TEX,1,00:07:56,Pass Reception,2,11,78,-2
400763463_2_2,400763463,2015,13,TTU,TEX,1,00:07:30,Pass Incompletion,3,13,80,0
400763463_4_0,400763463,2015,13,TTU,TEX,1,00:05:24,Rush,1,10,86,-1
400763463_4_1,400763463,2015,13,TTU,TEX,1,00:05:07,Pass Reception,2,11,87,36
400763463_4_3,400763463,2015,13,TTU,TEX,1,00:03:56,Pass Reception,2,11,52,5
400763463_4_4,400763463,2015,13,TTU,TEX,1,00:03:39,Pass Incompletion,3,6,47,0
400763463_8_1,400763463,2015,13,TTU,TEX,2,00:14:49,Rush,1,10,65,0
400763463_8_2,400763463,2015,13,TTU,TEX,2,00:14:28,Passing Touchdown,2,10,65,65
400763463_10_0,400763463,2015,13,TTU,TEX,2,00:12:42,Pass Incompletion,1,10,67,0
400763463_10_2,400763463,2015,13,TTU,TEX,2,00:12:05,Pass Reception,2,20,77,15
400763463_10_3,400763463,2015,13,TTU,TEX,2,00:11:36,Pass Incompletion,3,5,62,0
400763463_12_0,400763463,2015,13,TTU,TEX,2,00:10:38,Rush,1,10,63,13
